Date;Area Name;Electric;Plug-In Hybrid*;Hybrid;All Hybrids;Gas;Diesel;Electric: Difference;Plug-In Hybrid*: Difference;Hybrid: Difference;All Hybrids: Difference;Gas: Difference;Diesel: Difference;Year;Month
2023-03-31 00:00:00;Transylvania County;160.0;68.0;740.0;808.0;27559.0;2345.0;11.0;5.0;5.0;10.0;199.0;7.0;2023;03
2023-03-31 00:00:00;Washington County;11.0;5.0;68.0;73.0;9195.0;675.0;1.0;0.0;3.0;3.0;95.0;2.0;2023;03
2023-03-31 00:00:00;Yancey County;34.0;32.0;334.0;366.0;18190.0;1761.0;5.0;-1.0;-1.0;-2.0;96.0;19.0;2023;03
2023-04-30 00:00:00;Brunswick County;489.0;259.0;3120.0;3379.0;131867.0;6066.0;12.0;12.0;29.0;41.0;20.0;3.0;2023;04
2023-04-30 00:00:00;Duplin County;30.0;24.0;368.0;392.0;45363.0;4191.0;-1.0;-3.0;0.0;-3.0;-289.0;-9.0;2023;04
2023-04-30 00:00:00;Gaston County;549.0;219.0;2370.0;2589.0;162431.0;8860.0;23.0;4.0;28.0;32.0;-929.0;-101.0;2023;04
2023-04-30 00:00:00;Haywood County;150.0;97.0;988.0;1085.0;54097.0;4299.0;13.0;2.0;1.0;3.0;-271.0;-19.0;2023;04
2023-04-30 00:00:00;Iredell County;802.0;307.0;2847.0;3154.0;153925.0;10973.0;15.0;1.0;9.0;10.0;-578.0;-2.0;2023;04
2023-04-30 00:00:00;Randolph County;183.0;94.0;1598.0;1692.0;122161.0;9696.0;7.0;2.0;3.0;5.0;-872.0;-43.0;2023;04
2023-04-30 00:00:00;Rockingham County;96.0;59.0;871.0;930.0;79419.0;5110.0;6.0;1.0;9.0;10.0;-400.0;-27.0;2023;04
2023-04-30 00:00:00;Surry County;90.0;46.0;738.0;784.0;68337.0;11473.0;4.0;-2.0;-1.0;-3.0;65.0;143.0;2023;04
2023-04-30 00:00:00;Swain County;27.0;14.0;189.0;203.0;13775.0;1461.0;1.0;2.0;3.0;5.0;-75.0;0.0;2023;04
2023-04-30 00:00:00;Transylvania County;167.0;65.0;740.0;805.0;27394.0;2350.0;7.0;-3.0;0.0;-3.0;-165.0;5.0;2023;04
2023-04-30 00:00:00;Tyrrell County;1.0;3.0;28.0;31.0;2770.0;327.0;0.0;0.0;0.0;0.0;-4.0;-3.0;2023;04
2023-04-30 00:00:00;Warren County;29.0;15.0;183.0;198.0;16649.0;1117.0;-1.0;1.0;13.0;14.0;-65.0;0.0;2023;04
2023-04-30 00:00:00;Yadkin County;42.0;25.0;380.0;405.0;36188.0;3437.0;3.0;2.0;7.0;9.0;-213.0;-13.0;2023;04
2023-05-31 00:00:00;Ashe County;37.0;24.0;353.0;377.0;25979.0;2648.0;5.0;2.0;2.0;4.0;24.0;4.0;2023;05
2023-05-31 00:00:00;Camden County;18.0;13.0;188.0;201.0;9769.0;980.0;-1.0;2.0;6.0;8.0;50.0;14.0;2023;05
2023-05-31 00:00:00;Cumberland County;739.0;338.0;3712.0;4050.0;212335.0;9587.0;42.0;9.0;50.0;59.0;96.0;33.0;2023;05
2023-05-31 00:00:00;Currituck County;93.0;33.0;524.0;557.0;26816.0;2670.0;3.0;-2.0;14.0;12.0;99.0;24.0;2023;05
2023-05-31 00:00:00;Davie County;122.0;64.0;755.0;819.0;40135.0;3424.0;5.0;1.0;12.0;13.0;116.0;16.0;2023;05
2023-05-31 00:00:00;Edgecombe County;29.0;25.0;304.0;329.0;35797.0;1720.0;0.0;3.0;5.0;8.0;-42.0;-6.0;2023;05
2023-05-31 00:00:00;Franklin County;164.0;86.0;1031.0;1117.0;57165.0;3789.0;5.0;7.0;15.0;22.0;174.0;28.0;2023;05
2023-05-31 00:00:00;Gates County;8.0;6.0;91.0;97.0;9831.0;903.0;1.0;0.0;0.0;0.0;37.0;7.0;2023;05
2023-05-31 00:00:00;Jackson County;85.0;78.0;616.0;694.0;30566.0;2765.0;-4.0;3.0;6.0;9.0;29.0;23.0;2023;05
2023-05-31 00:00:00;Macon County;104.0;59.0;502.0;561.0;32929.0;3038.0;0.0;-1.0;14.0;13.0;171.0;24.0;2023;05
2023-05-31 00:00:00;Martin County;7.0;10.0;160.0;170.0;18858.0;1164.0;0.0;-1.0;-1.0;-2.0;-46.0;-2.0;2023;05
2023-05-31 00:00:00;Mecklenburg County;8613.0;2605.0;18762.0;21367.0;728530.0;36162.0;363.0;70.0;323.0;393.0;1684.0;63.0;2023;05
